ID,VIN,Prix,Kilometrage
CARS_0120,5XYRLDLC9PG178117,27888,31789
CARS_0121,5XYRLDLC3MG021145,17995,73430
CARS_0122,KM8R5DGE8RU704885,36500,26236
CARS_0123,5J8YE1H33NL022204,33500,33534
CARS_0124,1C4RJHAGXSC328607,42588,4754
CARS_0125,2HGFE2F53RH502232,22884,34108
CARS_0126,1HGCY1F35RA018046,24685,22557
CARS_0127,19XFB2F85FE249262,14995,48839
CARS_0128,5N1DL1FS5RC347032,39363,12004
CARS_0129,19XFL2H83PE004780,23110,23363
CARS_0130,19XFL2H87PE009352,23500,19985
CARS_0131,JA4J4VA81RZ008833,25900,13375
CARS_0132,3TMLB5JN6RM043850,42377,12011
CARS_0133,WA1LAAF78KD012570,18995,64074
CARS_0134,1N4AL4CV4RN406024,27995,11144
CARS_0135,JM3KFBEM6P0192377,25449,29034
CARS_0136,JM3KFBBM9N0629337,23995,25038
CARS_0137,1C4RJHAG2RC697309,31899,19936
CARS_0138,2HGFC2F65MH502076,20495,29363
CARS_0139,5XYRKDLF8MG014608,23895,61979
CARS_0140,WA1LHAF75JD023777,15716,90779
CARS_0141,2HGFC2F6XKH508338,17968,61982
CARS_0142,1C6RRFLG7LN401567,25995,103209
CARS_0143,1HGCY1F49SA008926,25795,4609
CARS_0144,1HGCV1F48NA072159,20990,80656
CARS_0145,5UX23EU02R9V33207,54695,16112
CARS_0146,5NMS3CAD0LH191541,28522,17533
CARS_0147,KMUHBDSB0PU110632,43878,20385
CARS_0148,JF2SKAEC4PH406713,25996,10485
CARS_0149,1HGCY1F38PA060188,23395,17820
CARS_0150,4S4BTGPD7R3105563,26990,62113
CARS_0151,3VV4B7AX6PM095155,29968,34735
CARS_0152,WBX57DP02NN147433,35999,16892
CARS_0153,2HGFE2F54PH546236,24200,5559
CARS_0154,KM8R3DHE9NU357677,26999,58002
CARS_0155,LRBFZPR48MD192876,24990,30042
CARS_0156,WA15AAFY9P2008774,32198,29093
CARS_0157,5J8TC2H58LL016659,21995,84145
CARS_0158,YV4A22PK0N1853501,37980,12657
CARS_0159,3VVFB7AX8RM139636,21499,9221
CARS_0160,19XFL2H88NE021488,22998,18388
CARS_0161,5UX23EU03S9004449,61445,19120
CARS_0162,JF2SKAMC7PH421692,32500,11831
CARS_0163,5N1DL1FS9NC342684,37888,32745
CARS_0164,JF2SKAPCXNH522203,27500,24209
CARS_0165,5NMS5DAL8PH597399,29319,32652
CARS_0166,2HGFE2F56PH530989,23188,8211
CARS_0167,1FTFW1E87NKF16607,41488,29405
CARS_0168,1C4RJHBG4PC607136,30888,23709
CARS_0169,W1K6G7GB7MA043505,66355,13523
CARS_0170,2HGFE2F58SH522546,17985,30794
CARS_0171,5UX53DP06P9P37668,32555,33848
CARS_0172,JM3KFBXY0P0242030,26875,37700
CARS_0173,1C6SRFBT4NN466007,34990,15760
CARS_0174,3GTU9FED9KG277668,36686,71910
CARS_0175,1HGCV2F36MA007113,19195,78158
CARS_0176,5J8TC2H51PL009803,35735,27771
CARS_0177,5J8YD8H87RL003782,58990,6251
CARS_0178,4S4BRBCC7D3307360,9995,47700
CARS_0179,1C6SRFFP9TN167008,55998,980
CARS_0180,3VV8B7AX2NM130367,25995,10864
CARS_0181,5UX53DP09R9U20003,40606,14028
CARS_0182,1HGCY1F45SA030101,27500,7978
CARS_0183,SALK19E7XPA011715,93900,51295
CARS_0184,2HGFE1F73PH306574,22992,53344
CARS_0185,1V2BR2CA2PC524000,30395,32164
CARS_0186,2HGFC2F68KH571356,14795,85657
CARS_0187,5UXCR6C08M9F56819,38499,37805
CARS_0188,1GCPYBEK1MZ445698,31900,16786
CARS_0189,5J8YD4H01LL032009,28706,61904
CARS_0190,3TMLB5JN5RM034105,38995,24307
CARS_0191,5XYRLDJC0SG342818,35895,8569
CARS_0192,1HGCY1F30PA024625,24085,18932
CARS_0193,5N1AT2MV4KC747496,13995,66247
CARS_0194,5N1BT3BB7NC692470,21959,61824
CARS_0195,5XYPH4A53LG701882,15212,108470
CARS_0196,5UX33EU02T9108565,92000,6385
CARS_0197,5XYRH4LF2NG132749,24674,41711
CARS_0198,5XYRLDLC9NG141789,23284,34824
CARS_0199,5UXCR6C01P9P08862,47888,30877
CARS_0200,5XYKTCA6XEG530045,7496,108651
CARS_0201,1FTEW1EP9KFC18034,26618,58313
CARS_0202,5NMS2DAJ1NH464052,23959,37794
CARS_0203,3GCPYJEK3MG338257,29115,41664
CARS_0204,5XYRHDJF9SG324264,34995,11710
CARS_0205,5XYRLDLC5NG127551,23200,81071
CARS_0206,JN8BT3BB1PW214474,20000,52409
CARS_0207,1C4RJGAG6RC180976,29995,20948
CARS_0208,WMW53DK04R2V67537,27399,10253
CARS_0209,5XYRKDLF1MG046218,24895,53779
CARS_0210,5J8YE1H0XPL010690,40180,25551
CARS_0211,W1K6G6KBXRA274892,98745,4013
CARS_0212,5NMS4DAL3MH317094,22999,51742
CARS_0213,YV4L12RK1N1976443,23990,76556
CARS_0214,4S4BSBHC5G3204438,13395,83422
CARS_0215,2HGFE2F56PH519717,24298,9468
CARS_0216,5XYPGDA37LG652736,12948,107375
CARS_0217,5NMMCDTC3RH003056,50773,12380
CARS_0218,3VV2B7AX6KM119177,14995,95629
CARS_0219,5UXCR6C09P9P30222,49396,15302
CARS_0220,YV4M12RM0T1343354,53773,1624
CARS_0221,1FTFW1E51PFC98228,58777,12659
CARS_0222,5UXJU4C05N9L54951,48489,36149
CARS_0223,KM8R5DHE6NU435794,30997,56558
CARS_0224,5UXCR6C03N9L56736,38762,26382
CARS_0225,5UXKR0C5XG0S85465,15180,80397
CARS_0226,5UXKR0C55JL075023,16388,82947
CARS_0227,2HGFE1F76PH309971,23929,27966
CARS_0228,JF2SKAGC6KH451299,15912,98517
CARS_0229,5J8TC2H76SL004865,43489,6742
CARS_0230,KM8R1DHE4MU283394,23152,69990
CARS_0231,5UX43DP01R9U20038,28878,48742
CARS_0232,2C4RC1GG7HR661050,14995,68879
CARS_0233,JF2SKAJC8KH452706,11499,134416
CARS_0234,5J8TC2H34KL041796,21880,69569
CARS_0235,YV4A22RLXM1829713,32995,28050
CARS_0236,3TMLB5JN9RM036472,40992,24657
